Unnamed: 0,cell_class,neuron_class,domain,Region,ground_truth,x,y
1154x-719,OD Immature 1,,MPA,MPA,MPA,1153.875145,-719.0216761
1287x-773,Astrocyte,,MPA,MPA,MPA,1286.735055,-772.5597867
1300x-775,Astrocyte,,MPA,MPA,MPA,1299.556096,-774.6348737
1164x-858,Pericytes,,MPA,MPA,MPA,1164.490173,-858.0837805
1171x-841,Endothelial 1,,MPA,MPA,MPA,1171.140784,-841.0001523
1169x-861,Pericytes,,MPA,MPA,MPA,1168.798769,-861.4118234
1185x-829,Pericytes,,MPA,MPA,MPA,1185.200217,-829.4589009
1240x-792,Pericytes,,MPA,MPA,MPA,1240.218572,-791.8116556
1244x-813,Pericytes,,MPA,MPA,MPA,1244.241221,-812.7663075
1256x-805,Pericytes,,MPA,MPA,MPA,1255.999916,-804.5680209
1271x-766,Astrocyte,,MPA,MPA,MPA,1270.651613,-765.6887284
1274x-733,OD Immature 1,,MPA,MPA,MPA,1274.389532,-732.7015027
1279x-767,Astrocyte,,MPA,MPA,MPA,1279.103347,-766.9740391
1294x-735,Endothelial 1,,MPA,MPA,MPA,1294.056957,-735.3500109
1298x-720,OD Mature 1,,MPA,MPA,MPA,1297.984589,-720.1459633
1173x-822,Pericytes,,MPA,MPA,MPA,1172.694351,-822.1262738
1166x-591,Microglia,,MPA,MPA,MPA,1165.785054,-591.1464822
1168x-515,Astrocyte,,MPA,MPA,MPA,1168.042534,-514.7108429
1173x-495,Inhibitory,I-8,MPA,MPA,MPA,1173.272894,-494.7978612
1177x-589,Inhibitory,I-30,MPA,MPA,MPA,1177.341151,-589.3007748
1180x-636,Inhibitory,I-1,MPA,MPA,MPA,1179.825671,-636.467565
1197x-492,Astrocyte,,MPA,MPA,MPA,1196.675523,-492.0974252
1203x-635,Astrocyte,,MPA,MPA,MPA,1203.053869,-634.551058
1204x-651,Astrocyte,,MPA,MPA,MPA,1204.114281,-650.9725495
1206x-536,OD Mature 2,,MPA,MPA,MPA,1206.316123,-535.9241299
1210x-577,OD Mature 2,,MPA,MPA,MPA,1209.880219,-577.1044209
1210x-521,Excitatory,E-15,MPA,MPA,MPA,1209.968746,-521.0464223
1212x-500,Inhibitory,I-4,MPA,MPA,MPA,1211.827146,-500.1786448
1220x-556,Inhibitory,I-12,MPA,MPA,MPA,1220.399974,-556.4589688
1219x-509,Astrocyte,,MPA,MPA,MPA,1219.268683,-508.6104514
1221x-483,Inhibitory,I-12,MPA,MPA,MPA,1221.216545,-483.3151302
1229x-594,Excitatory,E-6,MPA,MPA,MPA,1228.959111,-593.6839824
1234x-605,OD Mature 4,,MPA,MPA,MPA,1234.398229,-605.2054659
1236x-512,Inhibitory,I-7,MPA,MPA,MPA,1235.643536,-512.4964835
1245x-630,Excitatory,E-3,MPA,MPA,MPA,1244.853002,-630.3899239
1245x-521,Inhibitory,I-19,MPA,MPA,MPA,1245.299833,-520.671395
1249x-486,Inhibitory,I-4,MPA,MPA,MPA,1249.483261,-485.7287009
1251x-576,Excitatory,E-15,MPA,MPA,MPA,1250.608851,-576.2040599
1258x-586,Excitatory,E-15,MPA,MPA,MPA,1258.256466,-586.2841856
1261x-663,Inhibitory,I-1,MPA,MPA,MPA,1260.566566,-663.145103
1269x-500,Excitatory,E-7,MPA,MPA,MPA,1268.735817,-500.0611335
1280x-546,Astrocyte,,MPA,MPA,MPA,1279.755749,-545.6606426
1280x-536,Astrocyte,,MPA,MPA,MPA,1279.734293,-536.1009774
1283x-589,Excitatory,E-3,MPA,MPA,MPA,1282.52218,-588.636359
1284x-522,Endothelial 1,,MPA,MPA,MPA,1284.324636,-521.7933071
1288x-611,Inhibitory,I-4,MPA,MPA,MPA,1287.612593,-611.1844071
1287x-572,Endothelial 1,,MPA,MPA,MPA,1287.017018,-572.2497554
1295x-660,Excitatory,E-15,MPA,MPA,MPA,1294.829705,-660.3711271
1296x-533,Excitatory,E-7,MPA,MPA,MPA,1296.456746,-532.6569772
1301x-489,Microglia,,MPA,MPA,MPA,1300.790933,-489.397798
1309x-579,Endothelial 3,,MPA,MPA,MPA,1308.84183,-578.8419471
1308x-526,Inhibitory,I-12,MPA,MPA,MPA,1307.9898,-526.0352576
1312x-626,Inhibitory,I-4,MPA,MPA,MPA,1312.129105,-626.3661914
1311x-537,Excitatory,E-7,MPA,MPA,MPA,1311.449689,-537.3753542
1313x-663,Excitatory,E-3,MPA,MPA,MPA,1313.462248,-662.5587707
1314x-559,OD Mature 2,,MPA,MPA,MPA,1313.94685,-558.8214227
1322x-514,Excitatory,E-15,MPA,MPA,MPA,1322.374985,-514.2932976
1332x-609,Excitatory,E-3,MPA,MPA,MPA,1332.033128,-608.9336255
1335x-569,Excitatory,E-24,MPA,MPA,MPA,1335.279705,-568.8193114
1164x-620,Inhibitory,I-8,MPA,MPA,MPA,1164.042882,-619.6946367
1166x-554,Inhibitory,I-31,MPA,MPA,MPA,1166.360306,-553.8879066
1211x-644,Endothelial 1,,MPA,MPA,MPA,1210.79161,-643.7136061
1228x-605,OD Mature 4,,MPA,MPA,MPA,1227.800327,-605.1333795
1274x-614,Microglia,,MPA,MPA,MPA,1273.630675,-613.9655518
1298x-631,Inhibitory,I-4,MPA,MPA,MPA,1297.55582,-631.079335
1313x-594,Inhibitory,I-8,MPA,MPA,MPA,1312.822671,-594.2077794
1215x-536,Inhibitory,I-8,MPA,MPA,MPA,1215.415641,-536.2848946
1233x-662,Endothelial 1,,MPA,MPA,MPA,1232.940937,-661.6245564
1241x-577,Inhibitory,I-31,MPA,MPA,MPA,1241.310043,-576.9901615
1244x-644,Excitatory,E-13,MPA,MPA,MPA,1243.913367,-644.2108022
1295x-485,Endothelial 1,,MPA,MPA,MPA,1295.38819,-485.1558858
1296x-620,Inhibitory,I-1,MPA,MPA,MPA,1296.212493,-619.9516978
1332x-591,Inhibitory,I-8,MPA,MPA,MPA,1332.081221,-590.6360068
1189x-648,Excitatory,E-27,MPA,MPA,MPA,1189.100325,-648.2887211
1200x-511,Astrocyte,,MPA,MPA,MPA,1200.072364,-511.3979569
1226x-648,Excitatory,E-19,MPA,MPA,MPA,1225.920516,-648.1699857
1247x-561,Excitatory,E-3,MPA,MPA,MPA,1247.407276,-561.1831398
1269x-484,Inhibitory,I-12,MPA,MPA,MPA,1269.09997,-484.0433315
1283x-641,Excitatory,E-18,MPA,MPA,MPA,1283.040809,-640.8793298
1295x-593,Excitatory,E-11,MPA,MPA,MPA,1295.468942,-592.8486519
1311x-503,Inhibitory,I-7,MPA,MPA,MPA,1310.54229,-503.3547192
1149x-390,Inhibitory,I-4,MPA,MPA,MPA,1149.420595,-389.7557164
1152x-297,Inhibitory,I-7,MPA,MPA,MPA,1152.062987,-297.006017
1168x-421,OD Mature 2,,MPA,MPA,MPA,1168.302649,-421.4689442
1183x-398,Excitatory,E-15,MPA,MPA,MPA,1182.946674,-397.6180721
1187x-440,Excitatory,E-1,MPA,MPA,MPA,1186.534801,-440.0006131
1192x-391,Inhibitory,I-7,MPA,MPA,MPA,1191.875859,-391.2848144
1196x-389,Inhibitory,I-7,MPA,MPA,MPA,1196.06576,-389.1858379
1205x-446,Inhibitory,I-4,MPA,MPA,MPA,1204.687224,-445.9746512
1207x-376,Endothelial 1,,MPA,MPA,MPA,1206.907699,-376.3485399
1210x-408,Excitatory,E-7,MPA,MPA,MPA,1209.833798,-408.4413743
1216x-317,Astrocyte,,MPA,MPA,MPA,1215.948852,-316.7441689
1226x-332,Inhibitory,I-7,MPA,MPA,MPA,1226.104719,-332.1810591
1231x-360,Inhibitory,I-7,MPA,MPA,MPA,1231.319286,-360.1840852
1233x-425,Inhibitory,I-12,MPA,MPA,MPA,1232.863342,-424.8719506
1233x-446,Inhibitory,I-1,MPA,MPA,MPA,1233.482541,-445.542902
1243x-420,Excitatory,E-24,MPA,MPA,MPA,1243.374435,-419.735427
1249x-395,Astrocyte,,MPA,MPA,MPA,1248.923193,-394.807828
1251x-281,Astrocyte,,MPN,MPN,MPN,1250.672271,-281.3473705
1260x-415,Inhibitory,I-16,MPA,MPA,MPA,1260.247069,-415.419013
1271x-454,Astrocyte,,MPA,MPA,MPA,1271.3337,-453.8537257
1273x-287,Inhibitory,I-2,MPN,MPN,MPN,1273.094993,-286.6710058
1274x-306,Excitatory,E-16,MPN,MPN,MPN,1274.451217,-306.1428812
1283x-375,Astrocyte,,MPN,MPN,MPN,1283.290675,-374.6635827
1287x-279,Astrocyte,,MPN,MPN,MPN,1287.479593,-279.4673868
1289x-441,Inhibitory,I-1,MPA,MPA,MPA,1289.163264,-441.4388097
1291x-329,Inhibitory,I-14,MPN,MPN,MPN,1290.707969,-328.5869433
1295x-314,Inhibitory,I-7,MPN,MPN,MPN,1294.587764,-314.4241582
1301x-436,Astrocyte,,MPN,MPN,MPN,1301.087759,-436.4867946
1305x-452,Inhibitory,I-7,MPN,MPN,MPN,1304.625553,-451.9533021
1307x-422,Inhibitory,I-12,MPN,MPN,MPN,1307.310051,-422.3870924
1307x-394,Inhibitory,I-8,MPN,MPN,MPN,1306.99136,-393.8497651
1307x-291,Excitatory,E-7,MPN,MPN,MPN,1307.324388,-290.7468235
1314x-347,Inhibitory,I-7,MPN,MPN,MPN,1314.211717,-347.3157173
1321x-466,Excitatory,E-24,MPN,MPN,MPN,1321.413999,-465.8735976
1325x-414,Excitatory,E-15,MPN,MPN,MPN,1324.715987,-413.843987
1325x-323,Inhibitory,I-1,MPN,MPN,MPN,1325.297932,-323.2332869
1171x-306,Astrocyte,,MPA,MPA,MPA,1170.547418,-306.0579969
1195x-345,Inhibitory,I-1,MPA,MPA,MPA,1195.283329,-345.3210484
1200x-351,Inhibitory,I-7,MPA,MPA,MPA,1200.314245,-351.0552665
1220x-348,Excitatory,E-24,MPA,MPA,MPA,1219.970579,-348.2430262
1222x-355,OD Immature 1,,MPA,MPA,MPA,1221.567251,-355.1386569
1249x-306,Inhibitory,I-1,MPN,MPN,MPN,1248.528474,-305.5203268
1318x-318,Microglia,,MPN,MPN,MPN,1317.959658,-317.8183231
1180x-350,Inhibitory,I-31,MPA,MPA,MPA,1180.319703,-350.2607047
1212x-332,Excitatory,E-18,MPA,MPA,MPA,1211.699587,-331.8961545
1258x-346,Inhibitory,I-19,MPN,MPN,MPN,1257.933215,-346.3177975
1256x-340,Inhibitory,I-19,MPN,MPN,MPN,1255.880951,-339.7532171
1289x-301,Excitatory,E-11,MPN,MPN,MPN,1288.906016,-301.0502542
1314x-338,Inhibitory,I-7,MPN,MPN,MPN,1314.15572,-337.9397332
1315x-380,Excitatory,E-22,MPN,MPN,MPN,1314.627487,-380.2290101
1201x-305,Inhibitory,I-7,MPA,MPA,MPA,1201.152698,-304.946278
1240x-388,OD Mature 2,,MPA,MPA,MPA,1239.534541,-387.5694336
1284x-401,Inhibitory,I-1,MPN,MPN,MPN,1283.715381,-401.1070837
1165x-404,Inhibitory,I-8,MPA,MPA,MPA,1164.989679,-404.3015763
1198x-364,Excitatory,E-15,MPA,MPA,MPA,1198.019071,-363.5975211
1223x-365,OD Immature 1,,MPA,MPA,MPA,1223.203183,-365.1263293
1240x-394,Astrocyte,,MPA,MPA,MPA,1239.833159,-394.4862195
1308x-359,Inhibitory,I-12,MPN,MPN,MPN,1308.107934,-359.3183691
1157x-252,Inhibitory,I-1,MPA,MPA,MPA,1157.399795,-251.643724
1160x-80,OD Mature 2,,MPA,MPA,MPA,1160.26402,-79.8695284
1174x-112,Endothelial 2,,MPA,MPA,MPA,1174.413001,-112.4091136
1187x-99,Astrocyte,,MPA,MPA,MPA,1186.860913,-98.52889188
1188x-159,Inhibitory,I-14,MPA,MPA,MPA,1188.008385,-159.3301366
1195x-209,Inhibitory,I-7,MPA,MPA,MPA,1194.818694,-209.2123341
1200x-247,OD Immature 1,,MPA,MPA,MPA,1199.964893,-247.3886011
1204x-154,Endothelial 1,,MPA,MPA,MPA,1203.818672,-153.7617253
1211x-213,Astrocyte,,MPA,MPA,MPA,1210.628416,-213.2540865
1214x-176,Astrocyte,,MPA,MPA,MPA,1214.331941,-175.8099219
1216x-249,Astrocyte,,MPA,MPA,MPA,1215.914124,-248.8727097
1240x-90,Astrocyte,,MPA,MPA,MPA,1239.646142,-90.21881464
1241x-266,Excitatory,E-24,MPA,MPA,MPA,1241.079715,-265.7204882
1257x-184,Inhibitory,I-12,MPA,MPA,MPA,1257.457448,-184.098098
1262x-169,Inhibitory,I-10,MPA,MPA,MPA,1261.80446,-169.2032975
1268x-240,Microglia,,MPA,MPA,MPA,1267.648528,-239.5459869
1271x-104,Excitatory,E-19,MPA,MPA,MPA,1271.169817,-103.6492048
1274x-126,Inhibitory,I-6,MPA,MPA,MPA,1273.808831,-126.4570051
1279x-134,Inhibitory,I-12,MPA,MPA,MPA,1278.54355,-134.418247
1279x-87,Inhibitory,I-1,MPA,MPA,MPA,1278.784745,-86.72368078
1282x-155,Endothelial 1,,MPA,MPA,MPA,1281.704219,-154.7495989
1281x-169,Excitatory,E-18,MPA,MPA,MPA,1280.874246,-169.1953227
1288x-218,OD Immature 1,,MPA,MPA,MPA,1287.702757,-218.1568176
1293x-110,OD Mature 2,,MPA,MPA,MPA,1292.835849,-110.1441972
1292x-169,Endothelial 1,,MPA,MPA,MPA,1292.265558,-169.4369208
1306x-203,Excitatory,E-18,MPN,MPN,MPN,1306.092639,-202.8831984
1302x-227,Inhibitory,I-21,MPN,MPN,MPN,1302.119874,-227.0090755
1310x-173,OD Mature 2,,MPA,MPA,MPA,1310.443913,-172.6172544
1318x-112,OD Immature 1,,MPA,MPA,MPA,1318.129725,-111.5001665
1174x-252,Excitatory,E-18,MPA,MPA,MPA,1173.843388,-251.5124394
1202x-148,Astrocyte,,MPA,MPA,MPA,1202.008685,-148.1231678
1220x-101,Endothelial 1,,MPA,MPA,MPA,1220.134285,-100.635774
1319x-205,Excitatory,E-7,MPN,MPN,MPN,1318.811554,-205.0448502
1321x-225,Inhibitory,I-12,MPN,MPN,MPN,1321.166289,-224.8258132
1155x-156,OD Mature 2,,MPA,MPA,MPA,1154.586855,-156.3714108
1156x-182,Inhibitory,I-12,MPA,MPA,MPA,1156.391726,-182.1293315
1178x-192,OD Immature 1,,MPA,MPA,MPA,1177.755669,-192.1492755
1193x-151,Astrocyte,,MPA,MPA,MPA,1192.667788,-151.3190619
1223x-118,OD Mature 1,,MPA,MPA,MPA,1222.672082,-117.693611
1242x-219,Astrocyte,,MPA,MPA,MPA,1242.289926,-218.9168988
1247x-107,Inhibitory,I-1,MPA,MPA,MPA,1246.506903,-107.0333517
1261x-265,Excitatory,E-24,MPN,MPN,MPN,1261.305927,-264.6013484
1275x-255,Inhibitory,I-18,MPN,MPN,MPN,1275.238345,-255.4454642
1291x-240,Excitatory,E-18,MPN,MPN,MPN,1290.879381,-239.9916381
1164x-268,Inhibitory,I-19,MPA,MPA,MPA,1164.078839,-267.9007088
1164x-217,Inhibitory,I-31,MPA,MPA,MPA,1164.146467,-216.5662
1183x-154,Inhibitory,I-14,MPA,MPA,MPA,1182.653894,-153.9595519
1308x-149,Excitatory,E-12,MPA,MPA,MPA,1307.530792,-149.3892091
1324x-159,Excitatory,E-19,MPA,MPA,MPA,1324.372718,-159.2168981
1149x90,Excitatory,E-7,MPA,MPA,MPA,1148.841799,89.65628388
1156x-60,Inhibitory,I-12,MPA,MPA,MPA,1156.269751,-60.01025469
1155x50,Inhibitory,I-3,MPA,MPA,MPA,1155.457094,50.01753779
1156x2,Inhibitory,I-3,MPA,MPA,MPA,1155.610709,1.659176072
1163x-12,Inhibitory,I-3,MPA,MPA,MPA,1163.278295,-12.08663113
1170x64,Inhibitory,I-7,MPA,MPA,MPA,1169.542665,63.56570808
1173x-57,Inhibitory,I-14,MPA,MPA,MPA,1173.090333,-56.86490272
1174x42,Inhibitory,I-3,MPA,MPA,MPA,1173.585382,41.95907206
1180x24,Inhibitory,I-14,MPA,MPA,MPA,1179.64551,24.45474052
1196x103,Inhibitory,I-1,MPA,MPA,MPA,1195.683987,103.4268587
1199x74,Inhibitory,I-24,MPA,MPA,MPA,1199.42634,73.98639132
1197x61,Excitatory,E-18,MPA,MPA,MPA,1197.116206,60.75223917
1199x52,OD Mature 2,,MPA,MPA,MPA,1199.396592,51.80664863
1202x-37,Astrocyte,,MPA,MPA,MPA,1201.518134,-36.86321272
1201x-61,Excitatory,E-18,MPA,MPA,MPA,1200.949576,-61.15904437
1203x11,Astrocyte,,MPA,MPA,MPA,1203.253988,10.87078093
1206x114,Astrocyte,,MPA,MPA,MPA,1206.0122,114.1471849
1216x34,Inhibitory,I-2,MPA,MPA,MPA,1215.593369,33.95561078
1217x91,Inhibitory,I-19,MPA,MPA,MPA,1216.81515,91.2796397
1230x1,Inhibitory,I-13,MPA,MPA,MPA,1229.512868,1.422426123
1232x49,Excitatory,E-18,MPA,MPA,MPA,1231.539204,49.09482979
1259x-15,Inhibitory,I-16,MPA,MPA,MPA,1259.416766,-14.58566319
1260x-34,Inhibitory,I-7,MPA,MPA,MPA,1260.218585,-33.80815747
1263x100,Excitatory,E-15,MPA,MPA,MPA,1262.738461,99.78662022
1262x78,Astrocyte,,MPA,MPA,MPA,1262.152774,77.75316749
1276x-43,Inhibitory,I-12,MPA,MPA,MPA,1276.287321,-43.04968859
1276x87,Inhibitory,I-18,MPA,MPA,MPA,1275.661679,86.85677831
1282x109,Inhibitory,I-12,MPA,MPA,MPA,1282.307554,109.3817189
1289x-26,Astrocyte,,MPA,MPA,MPA,1289.212465,-26.18109121
1285x28,Excitatory,E-19,MPA,MPA,MPA,1284.563177,28.01933572
1289x-57,Microglia,,MPA,MPA,MPA,1289.484885,-57.36181782
1297x28,Inhibitory,I-7,MPA,MPA,MPA,1296.898092,28.16319145
1297x113,Endothelial 1,,MPA,MPA,MPA,1297.346577,113.2395234
1302x17,Inhibitory,I-7,MPA,MPA,MPA,1302.136936,17.46997324
1308x-26,OD Mature 2,,MPA,MPA,MPA,1308.136169,-26.3347627
1314x37,Inhibitory,I-2,MPA,MPA,MPA,1313.939301,37.45286577
1314x95,Excitatory,E-20,MPA,MPA,MPA,1314.086065,95.30938226
1318x50,Inhibitory,I-9,MPA,MPA,MPA,1318.096332,49.62867902
1322x60,Endothelial 1,,MPA,MPA,MPA,1321.887242,59.99149235
1325x30,Endothelial 1,,MPA,MPA,MPA,1324.653907,29.65430561
1162x34,Inhibitory,I-2,MPA,MPA,MPA,1161.794324,33.77292782
1195x38,Excitatory,E-19,MPA,MPA,MPA,1194.51999,38.08212908
1198x-15,Inhibitory,I-2,MPA,MPA,MPA,1198.071007,-14.53073847
1219x69,Inhibitory,I-2,MPA,MPA,MPA,1219.035538,69.0508005
1246x30,Endothelial 1,,MPA,MPA,MPA,1246.353565,30.1545287
1246x41,Endothelial 2,,MPA,MPA,MPA,1246.275385,40.52277116
1316x87,Astrocyte,,MPA,MPA,MPA,1316.362488,87.29468204
1300x52,Inhibitory,I-13,MPA,MPA,MPA,1300.456434,51.57368376
1174x7,Inhibitory,I-2,MPA,MPA,MPA,1174.130271,7.213270341
1180x10,Inhibitory,I-31,MPA,MPA,MPA,1180.452082,10.20361754
1181x85,Inhibitory,I-29,MPA,MPA,MPA,1181.368447,84.76629183
1213x-16,Inhibitory,I-10,MPA,MPA,MPA,1212.607077,-16.01041606
1226x17,Inhibitory,I-1,MPA,MPA,MPA,1226.325278,16.72212931
1227x-12,Inhibitory,I-14,MPA,MPA,MPA,1226.59593,-11.87610904
1239x86,Inhibitory,I-1,MPA,MPA,MPA,1239.44673,86.08266919
1240x-28,Inhibitory,I-2,MPA,MPA,MPA,1239.931562,-27.80331986
1256x4,Inhibitory,I-9,MPA,MPA,MPA,1256.410286,3.910132534
1295x-37,Inhibitory,I-18,MPA,MPA,MPA,1295.09736,-36.99994109
1316x-31,Inhibitory,I-2,MPA,MPA,MPA,1316.40777,-31.12528166
1158x211,Inhibitory,I-24,MPA,MPA,MPA,1157.974219,211.279481
1161x175,Inhibitory,I-12,MPA,MPA,MPA,1160.878065,175.1843973
1165x181,Excitatory,E-4,MPA,MPA,MPA,1165.477573,181.3166364
1178x265,Inhibitory,I-1,BST,BST,BST,1177.632225,264.8028184
1176x155,OD Immature 1,,MPA,MPA,MPA,1176.101262,155.1302675
1185x169,Inhibitory,I-24,MPA,MPA,MPA,1185.439743,169.3500223
1196x240,OD Immature 1,,BST,BST,BST,1195.931592,240.1265859
1195x292,Inhibitory,I-1,BST,BST,BST,1195.002545,292.0249526
1208x158,Inhibitory,I-2,MPA,MPA,MPA,1208.239726,157.8684688
1212x255,Inhibitory,I-1,BST,BST,BST,1212.225034,255.3813385
1221x302,Endothelial 3,,BST,BST,BST,1221.070644,301.6837126
1224x225,Inhibitory,I-19,BST,BST,BST,1224.197831,224.8331411
1229x155,Microglia,,MPA,MPA,MPA,1228.548957,154.6604363
1230x185,Inhibitory,I-18,BST,BST,BST,1229.579779,185.3241185
1232x209,Pericytes,,BST,BST,BST,1232.476234,208.8518301
1233x304,Inhibitory,I-13,BST,BST,BST,1233.404538,303.8464548
1235x252,Excitatory,E-18,BST,BST,BST,1234.821896,252.3369209
1249x173,Inhibitory,I-18,MPA,MPA,MPA,1248.622069,173.3592276
1249x269,Inhibitory,I-9,BST,BST,BST,1248.915443,269.0063843
1253x245,Inhibitory,I-12,BST,BST,BST,1253.402379,245.4689133
1262x301,Astrocyte,,BST,BST,BST,1262.173975,301.1357623
1270x310,Astrocyte,,BST,BST,BST,1269.710407,310.2649146
1273x196,Astrocyte,,BST,BST,BST,1272.669288,196.3307911
1277x290,OD Immature 1,,BST,BST,BST,1276.583565,290.1658461
1279x155,Inhibitory,I-20,MPA,MPA,MPA,1279.351746,154.7925001
1288x207,Inhibitory,I-2,BST,BST,BST,1288.232077,207.2788912
1290x257,Inhibitory,I-18,BST,BST,BST,1289.946635,256.8849498
1289x267,Astrocyte,,BST,BST,BST,1288.747865,267.3602011
1297x233,Endothelial 3,,BST,BST,BST,1296.99754,232.6912219
1302x170,Inhibitory,I-23,BST,BST,BST,1301.780334,169.9786351
1304x216,Inhibitory,I-9,BST,BST,BST,1303.524319,215.5986284
1304x245,Inhibitory,I-2,BST,BST,BST,1303.936669,245.4184526
1305x285,Inhibitory,I-23,BST,BST,BST,1304.889236,284.5801835
1306x181,Inhibitory,I-24,BST,BST,BST,1305.861836,181.4341109
1311x238,Pericytes,,BST,BST,BST,1311.465943,238.1881221
1319x203,Astrocyte,,BST,BST,BST,1319.175093,203.4022782
1320x261,Astrocyte,,BST,BST,BST,1319.986388,260.677026
1320x166,Inhibitory,I-11,BST,BST,BST,1320.463383,165.5066925
1329x245,Pericytes,,BST,BST,BST,1329.313132,244.7963412
1332x262,Astrocyte,,BST,BST,BST,1331.510067,262.0421097
1338x216,Inhibitory,I-18,BST,BST,BST,1337.806383,215.950879
1178x271,Excitatory,E-14,BST,BST,BST,1177.993521,270.8776717
1198x207,Inhibitory,I-9,MPA,MPA,MPA,1197.606162,207.0612984
1205x187,Inhibitory,I-13,MPA,MPA,MPA,1204.72432,186.5949485
1262x231,Pericytes,,BST,BST,BST,1261.513624,231.0788303
1285x232,Pericytes,,BST,BST,BST,1285.268447,231.9564674
1160x286,Inhibitory,I-1,BST,BST,BST,1160.147537,285.5564103
1166x235,Excitatory,E-2,BST,BST,BST,1165.63067,234.7461646
1179x311,Inhibitory,I-1,BST,BST,BST,1178.628898,310.8603806
1193x314,Endothelial 1,,BST,BST,BST,1193.351411,313.6685743
1218x317,OD Mature 2,,BST,BST,BST,1218.410958,316.9065166
1250x315,Astrocyte,,BST,BST,BST,1249.570347,314.5082651
1284x277,Endothelial 3,,BST,BST,BST,1284.095909,276.9837285
1304x316,Endothelial 1,,BST,BST,BST,1304.495935,316.3267059
1187x150,Inhibitory,I-11,MPA,MPA,MPA,1187.31457,150.4906013
1183x192,Inhibitory,I-27,MPA,MPA,MPA,1182.695234,191.764385
1224x213,Microglia,,BST,BST,BST,1224.069789,212.9197151
1235x139,OD Immature 1,,MPA,MPA,MPA,1235.462252,139.2281209
1270x185,Inhibitory,I-1,BST,BST,BST,1269.756095,184.6093337
1302x296,Inhibitory,I-23,BST,BST,BST,1302.107468,296.2624926
1326x260,Astrocyte,,BST,BST,BST,1326.076634,260.3139983
1330x279,Inhibitory,I-25,BST,BST,BST,1330.498963,279.2499617
1297x132,Microglia,,MPA,MPA,MPA,1296.517003,132.3402865
1156x488,Inhibitory,I-2,BST,BST,BST,1156.322068,488.169668
1155x438,Inhibitory,I-13,BST,BST,BST,1155.27632,437.8020086
1163x514,Excitatory,E-12,BST,BST,BST,1162.525139,514.4438996
