,Total_counts,X,Y,label,region,Region,ground_truth,x,y
Cell_107,324,9724.855300673924,-398.2109253499223,L2/3,L2/3,L2/3,L2/3,9724.855300673924,-398.2109253499223
Cell_108,293,2213.414953751285,-389.26176772867416,CC,CC,CC,CC,2213.414953751285,-389.26176772867416
Cell_110,456,5937.647169574495,-416.55985105225716,L5,L5,L5,L5,5937.647169574495,-416.55985105225716
Cell_111,657,563.179523752922,-414.4234716113951,HPC,HPC,HPC,HPC,563.179523752922,-414.4234716113951
Cell_113,719,4112.985992586846,-439.3453150590465,L6,L6,L6,L6,4112.985992586846,-439.3453150590465
Cell_114,524,7674.855403753122,-427.9383339535378,L4,L4,L4,L4,7674.855403753122,-427.9383339535378
Cell_115,207,12637.866247755836,-438.6461563571078,L1,L1,L1,L1,12637.866247755836,-438.6461563571078
Cell_116,298,1467.2185413188647,-445.3098393155259,CC,CC,CC,CC,1467.2185413188647,-445.3098393155259
Cell_117,443,8116.014514348785,-444.1738962472406,L4,L4,L4,L4,8116.014514348785,-444.1738962472406
Cell_118,886,7820.841310189557,-448.1179097973709,L4,L4,L4,L4,7820.841310189557,-448.1179097973709
Cell_119,363,12177.441651529285,-441.49629338700964,L2/3,L2/3,L2/3,L2/3,12177.441651529285,-441.49629338700964
Cell_121,382,4900.319013164506,-473.9714099085519,L6,L6,L6,L6,4900.319013164506,-473.9714099085519
Cell_122,340,6866.15373823581,-453.61641433331386,L5,L5,L5,L5,6866.15373823581,-453.61641433331386
Cell_123,443,1275.9749443745768,-453.59915836316145,HPC,HPC,HPC,HPC,1275.9749443745768,-453.59915836316145
Cell_124,811,10801.314967767928,-484.07295863550905,L2/3,L2/3,L2/3,L2/3,10801.314967767928,-484.07295863550905
Cell_125,908,5641.312541347699,-482.43852187883937,L5,L5,L5,L5,5641.312541347699,-482.43852187883937
Cell_126,294,9934.885729775317,-464.78531413770247,L2/3,L2/3,L2/3,L2/3,9934.885729775317,-464.78531413770247
Cell_127,537,9067.296395330899,-483.4840335270222,L4,L4,L4,L4,9067.296395330899,-483.4840335270222
Cell_129,481,8947.835058849172,-501.53116826503924,L4,L4,L4,L4,8947.835058849172,-501.53116826503924
Cell_131,296,10643.39586998088,-519.3427151051625,L2/3,L2/3,L2/3,L2/3,10643.39586998088,-519.3427151051625
Cell_132,375,2229.6226002188396,-538.5165622202328,CC,CC,CC,CC,2229.6226002188396,-538.5165622202328
Cell_134,360,2784.7742473486146,-542.4450906602806,CC,CC,CC,CC,2784.7742473486146,-542.4450906602806
Cell_135,305,1263.3697005438698,-561.4461699757552,HPC,HPC,HPC,HPC,1263.3697005438698,-561.4461699757552
Cell_138,835,3535.085668676836,-542.8382405108194,L6,L6,L6,L6,3535.085668676836,-542.8382405108194
Cell_139,301,3946.0989238410602,-581.9279210028383,L6,L6,L6,L6,3946.0989238410602,-581.9279210028383
Cell_140,568,7586.721425522835,-567.0376440460948,L4,L4,L4,L4,7586.721425522835,-567.0376440460948
Cell_142,613,7417.800834109766,-600.3370602067528,L4,L4,L4,L4,7417.800834109766,-600.3370602067528
Cell_143,205,1362.9635472888815,-590.4434941459771,CC,CC,CC,CC,1362.9635472888815,-590.4434941459771
Cell_144,684,8636.667563884157,-586.4473935264054,L4,L4,L4,L4,8636.667563884157,-586.4473935264054
Cell_145,327,9373.896543638324,-620.5926933358345,L4,L4,L4,L4,9373.896543638324,-620.5926933358345
Cell_146,325,9657.67508261049,-615.9554935976869,L2/3,L2/3,L2/3,L2/3,9657.67508261049,-615.9554935976869
Cell_147,381,1841.6568400854737,-632.9355457677381,CC,CC,CC,CC,1841.6568400854737,-632.9355457677381
Cell_148,205,5819.910818514999,-603.3552327948962,L5,L5,L5,L5,5819.910818514999,-603.3552327948962
Cell_149,393,10940.970249470583,-639.9638448427249,L2/3,L2/3,L2/3,L2/3,10940.970249470583,-639.9638448427249
Cell_150,321,3404.89634551495,-635.1078405315615,L6,L6,L6,L6,3404.89634551495,-635.1078405315615
Cell_151,421,12572.14918703564,-628.1883816087003,L1,L1,L1,L1,12572.14918703564,-628.1883816087003
Cell_152,730,4779.012954747116,-632.0201952085182,L6,L6,L6,L6,4779.012954747116,-632.0201952085182
Cell_153,354,11057.109207400475,-643.6434381973941,L2/3,L2/3,L2/3,L2/3,11057.109207400475,-643.6434381973941
Cell_154,372,11168.432211101,-655.3500151653018,L2/3,L2/3,L2/3,L2/3,11168.432211101,-655.3500151653018
Cell_155,626,4292.127796148609,-637.855281073721,L6,L6,L6,L6,4292.127796148609,-637.855281073721
Cell_156,221,10519.834275436791,-646.1267343268242,L2/3,L2/3,L2/3,L2/3,10519.834275436791,-646.1267343268242
Cell_157,349,7097.4574814814805,-676.3642469135802,L5,L5,L5,L5,7097.4574814814805,-676.3642469135802
Cell_159,244,1671.3903292791456,-668.3987540789084,CC,CC,CC,CC,1671.3903292791456,-668.3987540789084
Cell_160,676,4545.6214574898795,-676.2134362348178,L6,L6,L6,L6,4545.6214574898795,-676.2134362348178
Cell_162,569,5950.0987458046275,-673.9942589648473,L5,L5,L5,L5,5950.0987458046275,-673.9942589648473
Cell_163,301,6704.930770401175,-686.2334026474616,L5,L5,L5,L5,6704.930770401175,-686.2334026474616
Cell_164,209,1317.4340107891105,-692.6813448751724,CC,CC,CC,CC,1317.4340107891105,-692.6813448751724
Cell_165,249,3561.4000460087423,-685.5635495744191,L6,L6,L6,L6,3561.4000460087423,-685.5635495744191
Cell_166,253,11700.779482595957,-680.25016137842,L2/3,L2/3,L2/3,L2/3,11700.779482595957,-680.25016137842
Cell_167,584,3223.252509821039,-667.8535137494544,L6,L6,L6,L6,3223.252509821039,-667.8535137494544
Cell_168,442,3731.8066116994255,-680.9378687819936,L6,L6,L6,L6,3731.8066116994255,-680.9378687819936
Cell_169,318,3913.011418667482,-697.5043074884029,L6,L6,L6,L6,3913.011418667482,-697.5043074884029
Cell_171,287,9213.22739018088,-708.3771486349848,L4,L4,L4,L4,9213.22739018088,-708.3771486349848
Cell_172,454,12084.397770307649,-695.1128037104803,L2/3,L2/3,L2/3,L2/3,12084.397770307649,-695.1128037104803
Cell_173,223,5614.942710180915,-711.5579401679083,L5,L5,L5,L5,5614.942710180915,-711.5579401679083
Cell_174,401,12519.819557021678,-718.9760603204522,L1,L1,L1,L1,12519.819557021678,-718.9760603204522
Cell_176,271,13014.974554225984,-719.7083195383815,L1,L1,L1,L1,13014.974554225984,-719.7083195383815
Cell_177,1076,6393.110025363771,-740.7602456280872,L5,L5,L5,L5,6393.110025363771,-740.7602456280872
Cell_178,210,13535.715902008726,-741.6231362960832,L1,L1,L1,L1,13535.715902008726,-741.6231362960832
Cell_179,202,6932.335108230121,-713.6905891885635,L5,L5,L5,L5,6932.335108230121,-713.6905891885635
Cell_180,277,4401.292594859241,-732.3090575275398,L6,L6,L6,L6,4401.292594859241,-732.3090575275398
Cell_181,275,1122.0925258204486,-730.0242620546353,HPC,HPC,HPC,HPC,1122.0925258204486,-730.0242620546353
Cell_182,527,5458.770682457187,-720.2836755559343,L5,L5,L5,L5,5458.770682457187,-720.2836755559343
Cell_183,456,10025.159345083654,-756.3313500939429,L2/3,L2/3,L2/3,L2/3,10025.159345083654,-756.3313500939429
Cell_184,423,10403.334663596828,-748.7111281657711,L2/3,L2/3,L2/3,L2/3,10403.334663596828,-748.7111281657711
Cell_185,553,8280.727639181261,-770.2260491781252,L4,L4,L4,L4,8280.727639181261,-770.2260491781252
Cell_186,462,9465.485736836172,-750.6728680422445,L2/3,L2/3,L2/3,L2/3,9465.485736836172,-750.6728680422445
Cell_187,207,12132.393776983772,-790.8235075182373,L2/3,L2/3,L2/3,L2/3,12132.393776983772,-790.8235075182373
Cell_188,384,4188.768833794425,-772.7336667376038,L6,L6,L6,L6,4188.768833794425,-772.7336667376038
Cell_190,233,11060.377275296778,-778.4997173544375,L2/3,L2/3,L2/3,L2/3,11060.377275296778,-778.4997173544375
Cell_191,424,9881.11054319503,-801.1502806173581,L2/3,L2/3,L2/3,L2/3,9881.11054319503,-801.1502806173581
Cell_192,548,5276.054602336609,-795.4436134330548,L6,L6,L6,L6,5276.054602336609,-795.4436134330548
Cell_193,605,8461.276511437909,-771.2752859477124,L4,L4,L4,L4,8461.276511437909,-771.2752859477124
Cell_194,405,818.8129784186873,-796.3022371475134,HPC,HPC,HPC,HPC,818.8129784186873,-796.3022371475134
Cell_195,308,7467.520177315806,-806.1393050035667,L4,L4,L4,L4,7467.520177315806,-806.1393050035667
Cell_196,275,1440.0329164297893,-813.5073337123364,CC,CC,CC,CC,1440.0329164297893,-813.5073337123364
Cell_197,298,1555.0842368247384,-793.4481003111155,CC,CC,CC,CC,1555.0842368247384,-793.4481003111155
Cell_198,422,4648.338248919086,-791.543545398394,L6,L6,L6,L6,4648.338248919086,-791.543545398394
Cell_199,203,4754.171814092952,-813.9931034482759,L6,L6,L6,L6,4754.171814092952,-813.9931034482759
Cell_200,356,6967.80464987545,-831.0357597564351,L5,L5,L5,L5,6967.80464987545,-831.0357597564351
Cell_201,246,11574.510636913667,-817.9962917181706,L2/3,L2/3,L2/3,L2/3,11574.510636913667,-817.9962917181706
Cell_203,342,2837.4873761725257,-842.3512755325678,CC,CC,CC,CC,2837.4873761725257,-842.3512755325678
Cell_204,587,3234.9841057833582,-840.0728373625395,L6,L6,L6,L6,3234.9841057833582,-840.0728373625395
Cell_205,711,7907.473266692754,-831.1210202411867,L4,L4,L4,L4,7907.473266692754,-831.1210202411867
Cell_206,672,9231.32137477206,-838.3152303179261,L4,L4,L4,L4,9231.32137477206,-838.3152303179261
Cell_207,646,12877.200545962418,-800.5469781615033,L1,L1,L1,L1,12877.200545962418,-800.5469781615033
Cell_208,211,11373.040512739355,-842.5637495384291,L2/3,L2/3,L2/3,L2/3,11373.040512739355,-842.5637495384291
Cell_209,274,13055.215065568773,-826.7362000609943,L1,L1,L1,L1,13055.215065568773,-826.7362000609943
Cell_210,309,13185.68795831725,-840.0530683133925,L1,L1,L1,L1,13185.68795831725,-840.0530683133925
Cell_211,430,4038.0562568749683,-828.5061547325964,L6,L6,L6,L6,4038.0562568749683,-828.5061547325964
Cell_212,313,11875.328105794091,-826.9615140083922,L2/3,L2/3,L2/3,L2/3,11875.328105794091,-826.9615140083922
Cell_214,454,12336.856854838708,-839.0049395161292,L1,L1,L1,L1,12336.856854838708,-839.0049395161292
Cell_215,361,5526.636273044344,-844.9705406078723,L5,L5,L5,L5,5526.636273044344,-844.9705406078723
Cell_216,391,10719.623397702679,-855.1961461628099,L2/3,L2/3,L2/3,L2/3,10719.623397702679,-855.1961461628099
Cell_217,446,10356.890306122448,-861.6840534085976,L2/3,L2/3,L2/3,L2/3,10356.890306122448,-861.6840534085976
Cell_218,366,3550.542351973684,-843.359022556391,L6,L6,L6,L6,3550.542351973684,-843.359022556391
Cell_219,374,10953.944621983012,-875.4612732318559,L2/3,L2/3,L2/3,L2/3,10953.944621983012,-875.4612732318559
Cell_220,661,8471.899555696604,-874.9891568814135,L4,L4,L4,L4,8471.899555696604,-874.9891568814135
Cell_221,784,4976.649381572855,-859.7859316092334,L6,L6,L6,L6,4976.649381572855,-859.7859316092334
Cell_222,819,12690.877985948478,-864.8534292405487,L1,L1,L1,L1,12690.877985948478,-864.8534292405487
Cell_223,640,11714.546982947966,-886.4602851323829,L2/3,L2/3,L2/3,L2/3,11714.546982947966,-886.4602851323829
Cell_224,290,4411.115720355349,-889.5402085747393,L6,L6,L6,L6,4411.115720355349,-889.5402085747393
Cell_225,218,13788.879467944273,-881.0151925865221,L1,L1,L1,L1,13788.879467944273,-881.0151925865221
Cell_226,370,6485.44718427191,-893.6447184271908,L5,L5,L5,L5,6485.44718427191,-893.6447184271908
Cell_227,307,4637.071612249669,-900.607730070911,L6,L6,L6,L6,4637.071612249669,-900.607730070911
Cell_228,315,9517.001178244887,-914.0714958997078,L2/3,L2/3,L2/3,L2/3,9517.001178244887,-914.0714958997078
Cell_229,321,888.5757215997626,-900.4687244935817,HPC,HPC,HPC,HPC,888.5757215997626,-900.4687244935817
Cell_230,667,3716.0996859269458,-895.1677064062299,L6,L6,L6,L6,3716.0996859269458,-895.1677064062299
Cell_233,224,4138.465340086831,-921.8537626628076,L6,L6,L6,L6,4138.465340086831,-921.8537626628076
Cell_234,711,8235.884081956903,-933.8971897653172,L4,L4,L4,L4,8235.884081956903,-933.8971897653172
Cell_235,983,6364.3886380603635,-948.9359735504283,L5,L5,L5,L5,6364.3886380603635,-948.9359735504283
Cell_236,399,1004.05445609724,-910.2877265347316,HPC,HPC,HPC,HPC,1004.05445609724,-910.2877265347316
Cell_237,556,12384.059204840105,-932.5363625138907,L1,L1,L1,L1,12384.059204840105,-932.5363625138907
Cell_238,903,12538.381911037894,-952.6380230642503,L1,L1,L1,L1,12538.381911037894,-952.6380230642503
Cell_239,208,10618.739328828051,-977.380003465604,L2/3,L2/3,L2/3,L2/3,10618.739328828051,-977.380003465604
Cell_241,218,7647.799540807959,-972.912644180834,L4,L4,L4,L4,7647.799540807959,-972.912644180834
Cell_242,541,11272.80827586207,-988.9543336439888,L2/3,L2/3,L2/3,L2/3,11272.80827586207,-988.9543336439888
Cell_243,359,10170.079534289644,-994.6602967184123,L2/3,L2/3,L2/3,L2/3,10170.079534289644,-994.6602967184123
Cell_244,975,11875.101639344262,-1008.2096753455479,L2/3,L2/3,L2/3,L2/3,11875.101639344262,-1008.2096753455479
Cell_248,492,13789.853722778797,-1034.7488358967123,L1,L1,L1,L1,13789.853722778797,-1034.7488358967123
Cell_250,347,9584.54918115649,-1013.0953801051356,L2/3,L2/3,L2/3,L2/3,9584.54918115649,-1013.0953801051356
Cell_252,1020,8028.457284185229,-1024.2768912612134,L4,L4,L4,L4,8028.457284185229,-1024.2768912612134
Cell_253,791,10793.503522071647,-1036.5420300550113,L2/3,L2/3,L2/3,L2/3,10793.503522071647,-1036.5420300550113
Cell_254,452,2758.049290125933,-1040.1873746691265,CC,CC,CC,CC,2758.049290125933,-1040.1873746691265
Cell_255,531,6528.879456758331,-1041.3168705355774,L5,L5,L5,L5,6528.879456758331,-1041.3168705355774
Cell_256,391,12850.602546612097,-1056.857094133697,L1,L1,L1,L1,12850.602546612097,-1056.857094133697
Cell_257,247,7451.838360655738,-1045.0294426229511,L4,L4,L4,L4,7451.838360655738,-1045.0294426229511
Cell_258,254,11622.243741113929,-1048.0291772269272,L2/3,L2/3,L2/3,L2/3,11622.243741113929,-1048.0291772269272
Cell_259,236,9090.296832402959,-1049.5523821887575,L4,L4,L4,L4,9090.296832402959,-1049.5523821887575
Cell_260,420,5726.84800769277,-1047.9308251697819,L5,L5,L5,L5,5726.84800769277,-1047.9308251697819
Cell_261,269,9885.527298850577,-1062.934996516893,L2/3,L2/3,L2/3,L2/3,9885.527298850577,-1062.934996516893
Cell_262,251,1158.2631078610602,-1049.030786106033,HPC,HPC,HPC,HPC,1158.2631078610602,-1049.030786106033
Cell_263,448,4688.951023017903,-1067.625063938619,L6,L6,L6,L6,4688.951023017903,-1067.625063938619
Cell_264,277,10169.6361287147,-1071.7567833630717,L2/3,L2/3,L2/3,L2/3,10169.6361287147,-1071.7567833630717
Cell_265,376,1401.7751695608256,-1073.6066669873492,CC,CC,CC,CC,1401.7751695608256,-1073.6066669873492
Cell_266,582,5973.407987992996,-1080.0243892270494,L5,L5,L5,L5,5973.407987992996,-1080.0243892270494
Cell_267,345,2219.5365330694376,-1065.068283028204,CC,CC,CC,CC,2219.5365330694376,-1065.068283028204
Cell_268,210,6861.253837342498,-1087.3738067964873,L5,L5,L5,L5,6861.253837342498,-1087.3738067964873
Cell_269,691,5350.215682605034,-1092.2439880228314,L6,L6,L6,L6,5350.215682605034,-1092.2439880228314
Cell_270,499,3621.745719435266,-1094.893311304696,L6,L6,L6,L6,3621.745719435266,-1094.893311304696
Cell_271,509,4779.453811149033,-1120.6374288964732,L6,L6,L6,L6,4779.453811149033,-1120.6374288964732
Cell_272,521,12342.631908862968,-1114.8084596097242,L1,L1,L1,L1,12342.631908862968,-1114.8084596097242
Cell_274,465,5714.3488341457,-1140.0393228823607,L5,L5,L5,L5,5714.3488341457,-1140.0393228823607
Cell_275,409,12462.33503613934,-1126.377805554046,L1,L1,L1,L1,12462.33503613934,-1126.377805554046
Cell_276,230,8655.813805871463,-1158.379925945517,L4,L4,L4,L4,8655.813805871463,-1158.379925945517
Cell_277,417,3505.2885793366304,-1141.8498570715547,L6,L6,L6,L6,3505.2885793366304,-1141.8498570715547
Cell_278,573,4218.858736372437,-1178.4572547038767,L6,L6,L6,L6,4218.858736372437,-1178.4572547038767
Cell_279,259,8232.027050359713,-1137.581525179856,L4,L4,L4,L4,8232.027050359713,-1137.581525179856
Cell_280,274,3237.8386755461506,-1155.9821995394286,L6,L6,L6,L6,3237.8386755461506,-1155.9821995394286
Cell_281,269,4097.700735014573,-1167.0656444050185,L6,L6,L6,L6,4097.700735014573,-1167.0656444050185
Cell_283,738,4985.3519181423635,-1138.5043874932685,L6,L6,L6,L6,4985.3519181423635,-1138.5043874932685
Cell_284,254,8388.112646338142,-1179.3130955622107,L4,L4,L4,L4,8388.112646338142,-1179.3130955622107
Cell_285,269,9025.984789508351,-1174.2736091981556,L4,L4,L4,L4,9025.984789508351,-1174.2736091981556
Cell_286,335,7018.495564817785,-1165.7564924655342,L5,L5,L5,L5,7018.495564817785,-1165.7564924655342
Cell_288,822,11466.457379952086,-1179.7401826325474,L2/3,L2/3,L2/3,L2/3,11466.457379952086,-1179.7401826325474
Cell_289,297,1651.9758322198336,-1173.2016499157617,CC,CC,CC,CC,1651.9758322198336,-1173.2016499157617
Cell_290,603,10526.49812990002,-1176.5273322304538,L2/3,L2/3,L2/3,L2/3,10526.49812990002,-1176.5273322304538
Cell_291,977,11021.974076176572,-1193.6643689346633,L2/3,L2/3,L2/3,L2/3,11021.974076176572,-1193.6643689346633
Cell_292,228,6833.349398519434,-1185.31238433066,L5,L5,L5,L5,6833.349398519434,-1185.31238433066
Cell_293,873,13748.329299796058,-1176.3699524133242,L1,L1,L1,L1,13748.329299796058,-1176.3699524133242
Cell_295,250,5269.87147044106,-1207.2169561798555,L6,L6,L6,L6,5269.87147044106,-1207.2169561798555
Cell_296,277,1782.2939571602717,-1199.7851047773845,CC,CC,CC,CC,1782.2939571602717,-1199.7851047773845
Cell_297,335,7913.049481461398,-1202.2432047719108,L4,L4,L4,L4,7913.049481461398,-1202.2432047719108
Cell_299,253,1410.5652382256299,-1200.8370755750275,CC,CC,CC,CC,1410.5652382256299,-1200.8370755750275
